"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Morning workout ☀️","24 Jul 2023, 08:46","24 Jul 2023, 10:03","","Bench Press (Barbell)",,"",3,"normal",40,10,,,
"Morning workout ☀️","24 Jul 2023, 08:46","24 Jul 2023, 10:03","","Bench Press (Barbell)",,"",4,"normal",40,7,,,
"Morning workout ☀️","24 Jul 2023, 08:46","24 Jul 2023, 10:03","","Lat Pulldown (Cable)",,"",0,"normal",18.14,10,,,
"Morning workout ☀️","24 Jul 2023, 08:46","24 Jul 2023, 10:03","","Lat Pulldown (Cable)",,"",1,"normal",38.56,10,,,
"Morning workout ☀️","24 Jul 2023, 08:46","24 Jul 2023, 10:03","","Lat Pulldown (Cable)",,"",2,"normal",38.56,10,,,
"Morning workout ☀️","24 Jul 2023, 08:46","24 Jul 2023, 10:03","","Lat Pulldown (Cable)",,"",3,"normal",38.56,10,,,
"Morning workout ☀️","24 Jul 2023, 08:46","24 Jul 2023, 10:03","","Lat Pulldown (Cable)",,"",4,"normal",38.56,10,,,
"Morning workout ☀️","24 Jul 2023, 08:46","24 Jul 2023, 10:03","","Iso-Lateral Row (Machine)",,"",0,"normal",24.95,10,,,
"Morning workout ☀️","24 Jul 2023, 08:46","24 Jul 2023, 10:03","","Iso-Lateral Row (Machine)",,"",1,"normal",38.56,10,,,
"Morning workout ☀️","24 Jul 2023, 08:46","24 Jul 2023, 10:03","","Iso-Lateral Row (Machine)",,"",2,"normal",38.56,10,,,
"Morning workout ☀️","24 Jul 2023, 08:46","24 Jul 2023, 10:03","","Iso-Lateral Row (Machine)",,"",3,"normal",31.75,10,,,
"Morning workout ☀️","24 Jul 2023, 08:46","24 Jul 2023, 10:03","","Iso-Lateral Row (Machine)",,"",4,"normal",31.75,10,,,
"Morning workout ☀️","24 Jul 2023, 08:46","24 Jul 2023, 10:03","","Overhead Press (Dumbbell)",,"",0,"normal",9,10,,,
"Morning workout ☀️","24 Jul 2023, 08:46","24 Jul 2023, 10:03","","Overhead Press (Dumbbell)",,"",1,"normal",9,10,,,
"Morning workout ☀️","24 Jul 2023, 08:46","24 Jul 2023, 10:03","","Overhead Press (Dumbbell)",,"",2,"normal",9,10,,,
"Morning workout ☀️","24 Jul 2023, 08:46","24 Jul 2023, 10:03","","Overhead Press (Dumbbell)",,"",3,"normal",9,10,,,
"Morning workout ☀️","24 Jul 2023, 08:46","24 Jul 2023, 10:03","","Bicep Curl (Barbell)",,"",0,"normal",11.34,10,,,
"Morning workout ☀️","24 Jul 2023, 08:46","24 Jul 2023, 10:03","","Bicep Curl (Barbell)",,"",1,"normal",18.14,10,,,
"Morning workout ☀️","24 Jul 2023, 08:46","24 Jul 2023, 10:03","","Bicep Curl (Barbell)",,"",2,"normal",13.61,10,,,
"Morning workout ☀️","24 Jul 2023, 08:46","24 Jul 2023, 10:03","","Bicep Curl (Barbell)",,"",3,"normal",11.34,10,,,
"Morning workout ☀️","24 Jul 2023, 08:46","24 Jul 2023, 10:03","","Chest Dip",,"",0,"normal",,10,,,
"Morning workout ☀️","24 Jul 2023, 08:46","24 Jul 2023, 10:03","","Chest Dip",,"",1,"normal",,8,,,
"Morning workout ☀️","24 Jul 2023, 08:46","24 Jul 2023, 10:03","","Chest Dip",,"",2,"normal",,8,,,
"Morning workout ☀️","24 Jul 2023, 08:46","24 Jul 2023, 10:03","","Chest Dip",,"",3,"normal",,6,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Bench Press (Barbell)",,"",0,"normal",20,15,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Bench Press (Barbell)",,"",1,"normal",30,12,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Bench Press (Barbell)",,"",2,"normal",40,11,,,
